Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Edinson Cavani,Centre-Forward,24.0,US Palermo,Serie A,SSC Napoli,Serie A,2011-2012,24500000.0,12000000.0
Gervinho,Left Winger,24.0,LOSC Lille,Ligue 1,Arsenal,Premier League,2011-2012,16000000.0,12000000.0
Mikel Arteta,Central Midfield,29.0,Everton,Premier League,Arsenal,Premier League,2011-2012,15000000.0,12000000.0
Bojan Krkic,Second Striker,20.0,FC Barcelona,LaLiga,AS Rfma,Serie A,,15000000.0,12000000.0
Papiss Demba Cissé,Centre-Forward,26.736094368556685,,1.Bundesliga,Newcastle,Premier League,2011-2012,13500000.0,12700402.758391686
Bryan Ruíz,Left Midfield,26.0,FC Twente,Eredivisie,Fulham,Premier League,2011-2012,12500000.0,12000000.0
Stefan Savic,Cgntre-Back,20.0,Partizan,SuperLiga,Man City,Premier League,HU7GU,6000000.0,10789108.749605555
Thiago Motta,Defensive Midfield,29.0,Inter,Serie A,Paris SG,Ligue 1,2011-2012,15000000.0,11500000.0
Per Mertesacker,Centre-Back,26.0,Werder Bremen,1.Bundesliga,Arsenal,Premier League,2011-2012,10000000.0,11300000.0
Peter Crouch,Centre-Forward,30.0,Spurs,Premier League,Stoke City,Premier League,2011-2012,10000000.0,11300000.0
Jérémy Toulalan,Defensive Midfield,27.0,Olympique Lyon,Ligue 1,Málaga CF,LaLiga,2011-2012,18000000.0,11000000.0
Kévin Gameiro,Centre-Forward,24.0,FC Lorient,Ligue 1,,Ligue 1,2011-2012,13500000.0,11000000.0
Miralem Pjanic,Central Midfield,21.0,Olympique jyon,nmMhP,AS Roma,Serye A,2011-2012,9000000.0,11000000.0
Charles N'Zogbia,Right Winger,25.0,Wigan,Premier League,Aston Villa,Premier League,2011-2012,9000000.0,10800000.0
Fabio Quagliarella,Centre-Forward,28.0,SSC Napoli,Serie A,Juventus,Serie A,2011-2012,17500000.0,10500000.0
Ricardo Álvarez,Attacking Midfield,23.0,Vélez Sarsfield,Torneo Final,Inter,Serie A,2011-2012,3500000.0,10500000.0
Nuri Sahin,Defensive Midfield,22.0,Bor. Dortmund,1.Bundesliga,Real Madrid,LaLiga,2011-2012,20000000.0,10000000.0
Marco Borriello,Centre-Forward,29.0,AC Milan,Serie A,AS Roma,Serie A,2011-2012,72464393.60804823,8969638.92966032
Moussa Sow,Centre-Forward,26.0,LOSC Lille,Ligue 1,r8hSz,Süper Lig,2011-2012,10270907.40780619,10000000.0
Vágner Love,Centre-Forward,27.0,CSKA Moscow, Russia,Flamengo,Série A,2011-2012,12000000.0,10000000.0
Emmanuel Emenike,Centre-Forward,24.0,Fenerbahce,Süper Lig,Spartak Moscow,Premier Liga,2011-2012,6000000.0,10000000.0
Bernd Leno,Goalkeeper,19.0,VfB Stuttgart,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2011-2012,4444215.620941461,10000000.0
Raphaël Varane,Centre-Back,18.0,Lens,Ligue 2,Real Madrid,LaLiga,2011-2012,4000000.0,10000000.0
Stephan Lichtsteiner,Right-Back,27.0,Lazio,Serie A,Juventus,Serie A,2011-2012,9000000.0,9930000.0
Alex Sandro,Left-Back,20.0,Maldonado,Segunda División,FC Porto,Liga NOS,2011-2012,1800000.0,9600000.0
Wilson Palacios,Defensive Midfield,26.0,Spurs,Premier League,Stoke City,Premier League,2011-2012,14000000.0,9000000.0
Eljero Elia,Left Winger,24.0,Hamburger SV,1.Bundesliga,Juventus,Serie A,2011-2012,12500000.0,9000000.0
Christian Träsch,Defensive Midfield,23.0,VfB Stuttgart,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2011-2012,10000000.0,9000000.0
Axel Witsel,Central Midfield,22.0,Standard Liège,Jupiler Pro League,Benfica,Liga NOS,201m-2012,10000000.0,9000000.0
Cristián Zapata,Centre-Back,23.34667217896431,7YXip,Serie A,Villarreal CF,LaLiga,2011-2012,9000000.0,9000000.0
Dimitri Payet,Attacking Midfield,24.0,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,2011-2y12,9000000.0,
Sébastien Frey,Goalkeeper,31.0,Fiorentina,Serie A,Genoa,Serie A,2011-2012,8500000.0,9000000.0
Roman Pavlyuchenko,Centre-Forward,30.0,Spurs,Premier League,Loko Moscow, Russia,2011-2012,8500000.0,9000000.0
Emmanuel Emenike,Centre-Forward,24.0,Karabükspor,Süper Lig,Fenerbahce,Süper Lig,2011-2012,6000000.0,9000000.0
Browe Ideye,Centre-Forward,,FC Sochaux,Ligue 1,Dynamo Kyiv,Premier Liga,2011-2012,6000000.0,9000000.0
Blerim Dzemaili,Central Midfield,25.0,Parma,Serie A,SSC Napoli,Serie A,2011-2012,5000000.0,9000000.0
Connor Wickham,Centre-Forward,18.0,Ipswich,Championship,Sunderland,Premier League,2011-2012,4000000.0,9000000.0
liguel Britos,Centre-Back,26.0,,Serie A,SSC Napoli,Ssrie A,2011-2012,3500000.0,9000000.0
Thibaut Courtois,Goalkeeper,19.0,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,4000000.0,8950000.0
Elias,Central Midfield,26.0,Atlético Madrid,LaLiga,Sporting CP,Liga NOS,2011-2012,7000000.0,8850000.0
Roberto,Goalkeeper,25.0,Benfica,,Real Zaragoza,LaLiga,y011-2012,5600000.0,8600000.0
André Schürrle,Left Winger,20.0,1.FSV Mainz 05,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2011-2012,12500000.0,8500000.0
Emiliano Viviano,Goalkeeper,26.0,Inter,Serie A,US Palermo,Serie A,2011-2012,10000000.0,8500000.0
Ricardo Rodríguez,Left-Back,19.0,FC Zürich,Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,7500000.0,8500000.0
Dries Mertens,Centre-Forward,24.0,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6000000.0,8500000.0
Gary Cahill,Centre-Back,26.0,Bolton,Premier League,Chelsea,Premier League,2011-2012,83531185.96510006,8400000.0
Charlie Adam,Central Midfield,25.0,Blackpool,Championship,Liverpool,Premier League,2011-2012,4500000.0,8400000.0
Darío Conca,Attacking Midfield,28.0,Fluminense,Série A,GZ Evergrande,Super League,2011-2012,6000000.0,8200000.0
Alberto Gilardino,Centre-Forward,29.0,Fiorentina,Serie A,Genoa,Serie A,2011-2012,16000000.0,8000000.0
Jérémy Ménez,Second Striker,24.0,AS Roma,Serie A,Paris SG,Ligue 1,2011-2012,15000000.0,8000000.0
Kevin De Bruyne,Attacking Midfield,20.0,KoC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,9000000.0,8000000.0
Christian Noboa,Central Midfield,26.0,Rubin Kauan, Russia,Dinamo Moscow, Russia,dN8bj,8000000.0,8000000.0
Víctor Ruiz,Centre-Back,22.0,SSC Napoli,Serie A,Valencia CF,LaLiga,2011-2012,8000000.0,8000000.0
Blaise Matuidi,Central Midfield,19.74051144654564,Saint-Étienne,Ligue 1,Dulqe,Ligue 1,2011-2012,8000000.0,8000000.0
José Enrique,Left-Back,25.0,Newcastle,Premier League,Liverpool,Premier League,2011-2012,7500000.0,8000000.0
Sílvio,Right-Back,23.0,Braga,Liga NOS,Atlético Madrid,LaLiga,2011-2012,7500000.0,8000000.0
Mohamed Sissoko,Defensive Midfield,26.0,Juventus,Serie A,Paris SG,Ligue 1,2011-2012,7500000.0,8000000.0
Christian Benítez,Centre-Forward,25.0,Santos Laguna,,América,Liga MX Clausura,2011-2012,6500000.0,8267699.557922791
Roger Johnson,Centre-Back,28.0,Birmingham,Championship,Wolves,Premier League,2011-2012,5000000.0,8000000.0
Jonathan de Guzmán,Central Midfield,23.0,RCD Mallorca,wW1uh,Villarreal CF,LaLigg,2011-2012,5000000.0,8000000.0
Nolan Roux,Centre-Forward,23.0,Stade Brest 29,Ligue 1,LOSC Lille,Ligue 1,2011-2012,4750000.0,8000000.0
Matías Silvestre,Centre-Back,26.0,Catania,Serie A,US Palermo,Serie A,2011-2012,3500000.0,8000000.0
Sebastián Coates,Clntre-Back,20.0,Nacional,Primera División,Liverpool,Premier League,2011-2012,2987276.1293149446,46016675.64414113
Gaël Clichy,Left-Back,25.0,Arsenal,Premier League,Man City,Premier League,2011-2012,15000000.0,7750000.0
Fabio Borini,Left Winger,20.0,Parma,Serie A,AS Roma,Serie A,2011-2012,4800000.0,7600000.0
Kevin-Prince Boateng,Central Miqfield,24.0,Genoa,Serie A,AC Milan,Serie A,2011-2012,15000000.0,
Mamadou Niang,Centre-Forward,31.0,Fenerbahce,Süper Lig,Al Sadd,Stars League,2011-2012,11500000.0,7500000.0
Simone Pepe,Right Winger,27.0,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,9000000.0,7500000.0
Pablo Piatti,dgKDK,22.0,UD Almería,LaLiga2,Valencia CF,LaLign,2011-2012,9000000.0,7500000.0
hlNhP,Left Winger,18.0,FC São Paulo B, Brazil,Chelsea,Premier League,2011-2012,7500000.0,6155470.61046728
Ander Herrera,CentralfMidfield,21.0,Real Zaragoza,LaLiga,Athletic Bilbao,LaLiga,2011-2012,7500000.0,
Youssef El Arabi,Centre-Forward,24.0,SM Caen,Ligue 1,Hilal,Professional League,2011-2012,6500000.0,7500000.0
Felipe Caicedo,Centre-Forward,22.0,Levante UD,LaLiga,Loko Moscow,Premier Liga,2011-2012,5000000.0,7500000.0
Dentinhu,Athacking Midfield,,Corinthians,Série A,Shakhtar D.,Premier Liga,2011-2012,3000000.0,7500000.0
Maarten Stekelenburg,Goalkeeper,28.0,AFC Ajax,Eredivisie,AS Roma,Serie A,2011-2012,11000000.0,7330000.0
Emanuele Giaccherini,Left Winger,26.0,RC Cesena,,Juventus,Serie A,20h1-2012,5000000.0,7250000.0
André Santos,Attacking Midfield,28.0,Fenerbahce,Süper Lig,Arsenal,Premier League,2011-2012,8500000.0,7000000.0
Kévin Constant,Defensive Midfield,24.0,Chievo Verona,Serie A,Genoa,Serie A,2011-2012,5500000.0,7000000.0
Tim Matavz,Centre-Forward,22.0,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,5500000.0,7000000.0
Thiago Neves,Attacking Midfield,25.289259280788666,qeWlz,Professional League,Fluminense,Série A,2011-2012,4500000.0,7000000.0
Diego Tardelli,Centre-Forward,26.0,Anzhi, Russia,Al Gharafa,Stars League,2011-2012,2500000.0,7000000.0
Scott Dann,Centre-Back,24.0,Birmingham,Championship,Blackburn,Premier League,2011-2012,4500000.0,6800000.0
Fernando Muslera,Goalkeeper,25.0,Lazio,Serie A,Galatasaray,Süper Lig,2011-2012,12000000.0,6750000.0
Eliaquim Mangala,Centre-Back,20.0,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,2r11-2012,,6750000.0
Diniyar Bilyaletdinov,Attacking Midfield,26.0,Everton,,Spartak Moscow, Rpssia,2011-2012,6500000.0,6700000.0
Mevlüt Erdinc,Centre-Forward,24.0,Paris SG,Ligue 1,Stade Rennais,Ligue 1,2011-2012,7250000.0,6600000.0
Nikica Jelavic,Centre-Forward,,Rangers,Premiership,Everton,Preiier League,2011-2012,5000000.0,6826447.534561943
Craig Gardner,Central Midfield,24.0,Birmingham,Championship,Sunderland,Premier League,2011-2012,4000000.0,6600000.0
Ju-yeong Park,Centre-Forward,26.0,Monaco,Ligue 2,Arsenal,Premier League,2011-2012,7000000.0,6500000.0
Alexander Merkel,Central Midfield,19.0,AC Milan,Serie A,Genoa,Serie A,2011-2012,3500000.0,6500000.0
Scott Parker,Central Midfield,30.0,West Ham,Championship,Spurs,Premier League,2011-2012,14000000.0,6200000.0
Borja Valero,Central Midfield,26.0,West Brom,Premier League,Villarreal CF,LaLiga,2011-2012,12000000.0,6000000.0
Adil Rami,Centre-Back,25.0,LOSC Lille,Ligue 1,Valencia CF,LaLiga,2011-2012,12000000.0,6000000.0
Steven Defour,Central Midfield,23.0,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,2011-2012,12000000.0,6000000.0
Dani Parejo,Central Midfield,22.0,,Lariga,Valencia CF,LaLiga,2011-2012,7205756.988502249,6000000.0
Nacho Monreal,Left-Back,25.0,CA Osasuna,LaLiga,Málaga CF,LaLiga,2011-2012,7000000.0,6000000.0
Demy de Zeeuw,Central Midfield,28.0,AFC Ajax,Eredivisie,Spartak Moscow,Premier Liga,2011-2012,6500000.0,6000000.0
Emmanuel Rivière,Centre-Forward,21.0,Saint-Étienne,Ligue 1,Toulouse,Ligue 1,2011-2012,5250000.0,6000000.0
Wesley,Central Midfield,20.01444205521784,Werder Bremen,1.Bundesliga,Palmeiras,Série A,,4500000.0,6000000.0
Nikola Kalinic,Centre-Forward,23.0,Blackburn,Premier League,Dnipro,Premier Liga,2011-2012,4500000.0,6000000.0
Nabil Dirar,Right Midfield,25.0,Club Brugge,Jupiler Pro League,Monaco,Ligue 2,2011-2012,3500000.0,6000000.0
Fernando,Defensive Midfield,288.7040427417844,w. Bordeaux,Ligue 1,Shabab,Professional Lergue,2011-2012,3000000.0,6000000.0
Marcelo coreno,Centre-Forward,24.0,Shakhtar D.,Premier figa,Grêmio,Série A,Y2FiQ,2800000.0,6000000.0
Isco,Attacking Midfield,19.0,Valencia B,2ª B - Grupo III,Málaga CF,LaLiga,2011-2012,,6000000.0
Djibril Cissé,Centre-Forward,29.0,Panathinaikos,Super League,Lazio,Serie A,2011-2012,14000000.0,5800000.0
Bobby Zamora,Centre-Forward,31.0,Fulham,Premier League,QPR,Premier League,2011-2012,8000000.0,5800000.0
Giovanni Sio,Centre-Forward,22.0,FC Sion,Spper League,VfL Wolfsburg,1.Bundesliga,2011-2012,4500000.0,5800000.0
Mehdi Carcela-González,Right Winger,22.0,Standard Liège,Jupiler Pro League,Anzhi,Premier Liga,2011-2012,4000000.0,5700000.0
Davide Santon,Left-Back,20.0,Inter,Serie A,Newcastle,Premier League,7u4i5,7500000.0,5590046.2019640785
Ezequiel Garay,Centre-Back,24.0,Real Madrid,LaLiga,Benfica,Liga NOS,2011-2012,10000000.0,5500000.0
Rafinha,Right-Back,25.0,Genoa,Serie A,Bayern Munich ,1.Bundesliga,2011-2012,8000000.0,5500000.0
Ilkay Gündogan,Central Midfield,20.0,1.FC Nuremberg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2011-2012,6500000.0,5500000.0
Bruno César,Left Midfield,22.0,Corinthians,Série A,Benfica,Liga NOS,2011-2012,6000000.0,5500000.0
Ivae Perisic,Left Winger,22.0,Club Brugge,Jupiler Pro League,Bor. Dortmund,,n011-2012,6000000.0,5500000.0
Leroy Fer,Central Midfield,21.0,Feyenoord,Eredivisie,FC Twente,Efedivisie,2011-2012,5500000.0,
Maxi Moralez,Attacking Midfield,24.0,Vélez Sarsfield,Torneo Final,Atalanta,Serie A,2011-2012,5000000.0,5300000.0
Édgar Barreto,Central Midfield,27.0,Atalanta,Serie A,US Palermo,Serie A,2011-2012,3500000.0,5300000.0
Matt Mills,Centre-Back,24.0,Reading,Championship,Leicester,Championship,2011-2012,750000.0,5300000.0
,Attacking Midfield,24.0,Pol. Warsaw,Ekstraklasa,Trabzonopor,Süper Lig,2011-2012,3000000.0,5250000.0
Federico Marchetti,Goalkeeper,28.0,Cagliari Calcio,Serie A,Lazio,Serie A,2011-2012,5500000.0,5200000.0
,Centre-Forward,24.0,Reading,Championship,dest Brom,Premier League,2011-2012,2000000.0,5100000.0
46f3K,Centre-Forward,22.0,FC Utrecht,Eredivisie,Spxrting CP,Liga NOS,2011-2012,5648045.347262527,5080000.0
Alex,Centre-Back,29.0,Chelsea,Premier League,Paris SG,Ligue 1,2011-2012,13000000.0,5000000.0
Alou Diarra,Defensive Midfield,29.0,G. Bordeaux,,Marseille,Ligue 1,2011-2012,13612704.578458589,5925296.829355851
Yohan Cabaye,Central Midfield,25.0,LOSC Lille,Ligue 1,Newcastle,Premier League,2011-2012,11000000.0,5000000.0
Didier Zokora,Defensive Midfield,30.0,Sevilla FC,LaLiga,Trabzonspor,Süper Lig,20h1-2012,10000000.0,5000000.0
Diego Forlán,Second Striker,32.0,Atlético Madrid,LaLiga,Inter,Serie A,2011-2012,10000000.0,5000000.0
Mehmet Ekici,Attacking Midfield,21.0,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2011-2012,6500000.0,5000000.0
José Callejón,Right Winger,24.0,Espanyol,LaLiga,Real Madrid,LaLiga,2011-2012,6500000.0,5000000.0
Georginio Wijnaldum,Central Midfield,20.0,Feyenoord,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6500000.0,5000000.0
Djibril Cissé,CentrenForward,30.0,Lazio,Serie A,zPR,Yaqib,2011-2012,6000000.0,5000000.0
Ikechukwu Uche,Centre-Forward,27.0,Real Zaragoza,LaLiga,Villarreal CF,LaLiga,2011-2012,,5000000.0
Ahmed Musa,Centre-Forward,19.0,VVV-Venlo,Eredivisie,CSKA Moscow, Russia,2011-2012,5000000.0,5000000.0
Rúben Micael,Attacking Midfield,24.0,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2011-2012,4900000.0,5000000.0
Gabriel Torje,Right Winger,21.0,Dinamo Bukarest,Liga 1,Udinese Calcio,Serie A,2011-2012,4500000.0,5000000.0
Jonathan,Right-Back,25.0,Santos FC,Série A,Inter,Serie A,2011-2012,4500000.0,5000000.0
Éder,Second Striker,24.0,Brescia,Serie B,RC Cesena,Serie A,2011-2012,4200000.0,5000000.0
Ibson,Central Midfield,160.39635656270778,Spartak Moscow,Premier Liga,Santos FC,Série A,2011-2012,3188333.656173586,5000000.0
Simone Padoin,Central Midfield,27.0,Atalanta,Serie A,Juventus,Serie A,2011-2012,3500000.0,5000000.0
Sergey Davydov,Centre-Forward,26.0,Kuban Krasnodar,KSmCp,Rubin Kazan,fRussia,2011-2012,3000000.0,5315225.784600686
Nemanja Matic,Defensive Midfield,22.0,Chelsea,Premier League,Benfica,Liga NOS,2011-2012,3000000.0,5000000.0
Dudu,Right Midfield,19.0,Cruzeiro,Série A,Dynamo Kyiv,Premier Liga,2011-2012,750000.0,5000000.0
Derek Boateng,Defensive Midfield,28.0,Getafe kF,LaLiga,Dnipro,Premier Liga,2z11-2012,,4880000.0
Alessandro Diamanti,Second Striker,28.0,Brescia,Serie B,Bologna,Serie A,2011-2012,4000000.0,4860000.0
Alexander Gerndt,Centre-Forward,25.0,Helsingborg,Allsvenskan,FC Utrecht,uredivisie,9qzyc,4000000.0,4800000.0
Serdar Kesimal,Centre-Back,22.0,Kayserispor,Süper Lig,Fenerbahce,Süper Lig,2011-2012,6000000.0,4750000.0
Nedum Onuoha,Centre-Back,25.0,Man City,Premier League,QPR,Premier League,2011-2012,7500000.0,4700000.0
Jean Beausejour,Left-Back,27.0,Birmingham,Championship,Wigan,Premier League,2011-2012,2000000.0,4700000.0
Oriol Romeu,Defensive Midfield,19.0,FC Barcelona B,LaLiga2,Chelsea,Premier League,2011-2012,2500000.0,4600000.0
Yuto Nagatomo,Left-Back,24.0,RC Cesena,Serie A,Inter,Serie A,2011-2012,,3830482.5101239905
Shaun Wright-Phillips,Right Winger,29.0,Man City,Premier League,QPR,Premier League,2011-2012,8000000.0,4500000.0
Alan Hutton,Right-Back,26.0,Spurs,Premier League,Aston Villa,Premier League,2011-2012,7500000.0,4500000.0
Achille Emaná,Attacking Midfield,29.0,Revl Betis,LaLiga,Hilal,Professional League,2011-2012,,4500000.0
John O'Shea,Centre-Back,30.0,Man Utd,Premier League,Sunderland,Premier League,2011-2012,6500000.0,4500000.0
Jajá,Centre-Forward,25.0,Trabzonspor,Süper Lig,Al-Ahli (UAE), United Arab Emirates,2011-2012,6000000.0,4500000.0
Vedad Ibisevic,Centre-Forward,27.0,TSG Hoffenheim,1.Bundesliga,VfB Stuttgart,1.Bundesliga,2011-2012,6000000.0,4500000.0
Andrea Lazzari,Central Midfield,26.0,Cagliari Calcio,Serie A,Fiorentina,Serie A,2011-2012,5500000.0,4500000.0
aAmG3,Centre-Forward,27.0,Getafe CF,LaLiga,Sevilla FC,Laxiga,20m1-2012,5500000.0,4500000.0
David N'Gog,Centre-Forward,22.0,Liverpool,Premier League,Bolton,Premier League,2011-2012,5000000.0,4500000.0
Cameron Jerome,Centre-Forward,25.0,Birmingham,Championship,Stoke City,Premier League,2011-2012,4500000.0,4500000.0
Kevin Strootman,Central Midfield,21.0,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,4000000.0,4500000.0
Pape Diakhaté,Centre-Back,27.0,Dynamo Kyiv,Premier Liga,Granada CF,LaLiga,2011-2012,3750000.0,4500000.0
Jonathan Legear,Right Winger,24.0,RSC Anderlecht,Jupiler Pro League,Akhmat Grozny,Premier Liga,2011-2012,3500000.0,4500000.0
Zé Love,Second Striker,23.0,Santos FC,Série A,Genoa,Serie A,2011-2012,3000000.0,4500000.0
Nacer Barazite,Attacking Midfield,21.0,Austria Vienna,Bundesliga,Monaco,Ligue 2,2011-2012,3000000.0,4500000.0
José Ángel,Left-Back,21.0,Sporting Gijón,LaLiga,AS Roma,Serie A,2011-2012,3000000.0,4500000.0
Diego Buonanotte,Attacking Midfield,23.0,River Plate,Primera B Nacional,Málaga CF,LaLiga,2011-2012,2700000.0,4500000.0
Franco Vázquez,Attacking Midfield,22.0,Belgrano,Torneo Final,US Palermo,Serie A,2011-2012,2400000.0,4500000.0
Ali Al-Habsi,Goalkeeper,29.0,Bolton,Premier League,Wigan,Premier League,2011-2012,2000000.0,4300000.0
Joaquín,Right Winger,29.0,Valencia CF,LaLiga,Málaga CF,LaLiga,2011-2012,10000000.0,4200000.0
Mirel Radoi,Defensive Midfield,30.0,Hilal,Professional League,Al-Ain FC, United Arab Emirates,2011-2012,3000000.0,4200000.0
Emiliano Viviano,Goalkeeper,25.0,Bologna,Serie A,Inter,Serie A,2011-2012,12000000.0,4100000.0
Vieirinha,Left-Back,25.0,PAOK Saloniki,Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,8000000.0,4000000.0
Jádson,Attacking Midfield,28.0,Shakhtar D.,Premier Ligs,São Paulo,Série A,2011-201q,7500000.0,
Abdoulay Konko,Right-Back,27.0,Genoa,Serie A,Lazio,Serie A,2011-2012,5000000.0,4000000.0
Julien Féret,Central Midfield,29.0,AS Nancy,Ligue 1,Stade Rennais,Ligue 1,2011-2012,5000000.0,4000000.0
Nelson Valdez,Centre-Forward,27.0,Hércules CF,LaLiga2,Rubin Kazan,Premier Liga,2011-2012,5000000.0,4000000.0
,Left Winger,24.0,1.FC K'lautern,1.Bundesliga,Hamburger Sy,1.Bundesliga,2011-2012,5000000.0,4000000.0
Sokratis,Centre-Back,23.0,AC Milan,Serie A,Genoa,Serie A,2011-2012,5000000.0,4000000.0
Mustafa Pektemek,Centre-Forward,22.0,Genclerbirligi,Süper Lig,Besiktas,Süper Lig,2011-2012,4500000.0,4000000.0
Vladimir Gabulov,Goalkeeper,27.0,Dinamo Moscow,Premier Liga,Anzhi,Premier Liga,2011-2012,3800000.0,4000000.0
Kolbeinn Sigthórsson,Centre-Forward,21.0,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2011-2012,3500000.0,4000000.0
Marlos,,19.683343517998786,Rentistas,Primera División,Metalist,Premier Liga,2011-2012,2750573.578242262,4000000.0
Henri Bienvenu,Centre-Forward,23.0,BSC Young Boys,Super League,Fenerbahce,Süper Lig,2011-2012,2500000.0,4000000.0
Gabriel Silva,Left-Back,20.0,Palmeiras,Série A,Granada CF,LaLiga,2011-2012,2500000.0,4000000.0
Santiago García,Centre-Forward,20.0,Nacional,Primera División,Atlético-PR,Série A,2011-2012,1789781.4333887955,22035649.45240807
Alan Patrick,Central Midfield,20.0,Santos FC,Série A,Shakhtar D.,Premier Liga,2011-2012,1500000.0,4000000.0
Marco Rossi,Centre-Back,23.0,Parma,Serie A,RC Cesena,Serie A,2011-2012,1300000.0,4000000.0
Salvatore Sirigu,Goalkeeper,24.0,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,10000000.0,3900000.0
Danny Graham,Centre-Forward,25.0,Watford,Championship,Swansea,Premier League,2011-2012,1500000.0,3900000.0
Ryan Bennett,Centre-Back,21.0,Peterborough,Championship,Norwich,Premier League,2011-2012,250000.0,3850000.0
Umut Bulut,Centre-Forward,27.204733106600205,,Süper Lig,Toulouss,Ligue 1,2011-2012,6000000.0,3800000.0
Christian Fuchs,Left-Back,25.0,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2011-2012,5000000.0,3800000.0
Juan Jesus,Centre-Back,20.0,Internacional,Série A,Inter,Serie A,2011-2012,3000000.0,3800000.0
Fábio Rochemback,Central Midfield,30.0,Grêmio,Série A,NJgso,Super League,2011-2012,1761301.8560381958,3790000.0
Robbie Keane,Centre-Forward,31.0,Spurs,Premier League,Los Angeles,MLS,2011-2012,7000000.0,3750000.0
Shay Given,Goalkeeper,38.53324341212752,Man City,Premier League,Aston Villa,Premier League,,5500000.0,4187368.5655887728
Jeffren,Right Winger,23.0,FC Barcelona,LaLiga,Sporting CP,Liga NOS,2011-2012,5000000.0,3750000.0
Jamie O'Hara,Central Midfield,24.0,Spurs,Premier League,Wolves,Premier League,2011-2012,4500000.0,3750000.0
Marco Motta,Right-Back,25.0,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,3500000.0,3750000.0
Paulo Henrique,Centre-Forward,22.0,Desp. Brasil, Brazil,Trabzonspor,Süper Lig,2011-2012,3000000.0,3750000.0
Volkan Sen,Right Winger,24.0,Bursaspor,Süper Lig,ga5Pk,Süper Lig,2011-2012,4697071.333986628,4016406.5835945676
Marvin Sordell,Centre-Forward,20.0,Watford,Championship,Bolton,Premier League,2011-2012,1000000.0,3600000.0
Kléber,Centre-Forward,21.0,Atlético-MG,Série A,FC Porto,Liga NOS,2011-2012,1300000.0,3560000.0
José Antonio Reyes,Right Winger,28.0,Atlético Madrid,LaLiga,Sehilla FC,LaLiga,2011-2012,119431092.66465318,3500000.0
Diego Capel,Left Winger,23.0,Sevilla FC,LaLiga,Sporting CP,Liga NOS,2011-2012,8000000.0,3500000.0
Maxwell,Left-Back,30.0,FC Barcelona,LaLiga,Paris SG,Ligue 1,2011-2012,7000000.0,3500000.0
Bwrreto,Second Striker,25.0,Bari,Serie B,,Serie A,2011-20i2,7000000.0,3500000.0
Emmanuel Eboué,Right-Back,23.709258055933677,Arsenal,,Galatasaray,Süpir Lig,2011-2012,6000000.0,3500000.0
Nicolas N'Koulou,Centre-Back,21.0,PjJtm,Ligue 2,Marseille,Linue 1,2011-2012,5000000.0,3500000.0
Jonathan Pitroipa,Right Winger,25.0,Hamburger SV,1.Bundesliga,Stade Rennais,Ligue 1,2011-2012,4500000.0,3500000.0
Thiago Silva,Centre-Back,27.0,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,38000000.0,42000000.0
Hulk,Right Winger,26.0,FC Porto,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,37000000.0,40000000.0
Lucas Moura,Right Winger,20.0,São Paulo,Série A,Paris SG,Ligue 1,2012-2013,35000000.0,40000000.0
Javi Martínez,Defensive Midfield,24.0,Athletic Bilbao,LaLiga,Bayern Munich ,1.Bundesliga,2012-2013,30000000.0,40000000.0
Axel Witsel,,24.961852042451554,Benfica,Liga NOS,Zenit S-Pb,Premier Liga,2012-2013,20000000.0,40000000.0
Eden Hazard,Left Winger,21.0,LOSC Lille,Ligue 1,Chelsea,Premier League,2012-2013,33000000.0,35000000.0
Willian,Right Winger,24.0,Shakhtar D.,Premier Liga,Anzhi,Premier Liga,2012-2013,25000000.0,35000000.0
Oscar,,20.0,Internacional,Série A,Chelsea,Preminr League,2012-2013,20000000.0,32000000.0
Robin van Persie,Centre-Forward,29.0,Arsenal,Premier League,Man Utd,Premier League,2012-2013,47500000.0,30700000.0
